rank,category,racename,race_id,rider_name,rider_id,points,jpp,date,ploegleider
2,1.WT3,National Championships Great Britain (Saltburn-by-the-Sea) R.R.,43037,ASKEY Lewis,30685,2,35,2024-06-23,-
3,1.WT3,National Championships Great Britain (Saltburn-by-the-Sea) R.R.,43037,WALKER Max,31835,1,25,2024-06-23,-
4,1.WT3,National Championships Great Britain (Saltburn-by-the-Sea) R.R.,43037,SWIFT Connor,26437,0,20,2024-06-23,Arjan
5,1.WT3,National Championships Great Britain (Saltburn-by-the-Sea) R.R.,43037,DOULL Owain,20678,0,18,2024-06-23,-
6,1.WT3,National Championships Great Britain (Saltburn-by-the-Sea) R.R.,43037,DONALDSON Robert,32179,0,16,2024-06-23,-
7,1.WT3,National Championships Great Britain (Saltburn-by-the-Sea) R.R.,43037,TARLING Joshua,34297,0,14,2024-06-23,Kaspar
8,1.WT3,National Championships Great Britain (Saltburn-by-the-Sea) R.R.,43037,BLACKMORE Joseph,34973,0,12,2024-06-23,-
9,1.WT3,National Championships Great Britain (Saltburn-by-the-Sea) R.R.,43037,WALLS Matthew,28509,0,10,2024-06-23,-
10,1.WT3,National Championships Great Britain (Saltburn-by-the-Sea) R.R.,43037,MCLAY Daniel,18498,0,8,2024-06-23,-
1,1.WT3,National Championships Netherlands (Arnhem) R.R.,43040,GROENEWEGEN Dylan,19238,5,50,2024-06-23,Albert
2,1.WT3,National Championships Netherlands (Arnhem) R.R.,43040,KOOIJ Olav,30643,2,35,2024-06-23,Roy
3,1.WT3,National Championships Netherlands (Arnhem) R.R.,43040,SINKELDAM Ramon,9957,1,25,2024-06-23,-
4,1.WT3,National Championships Netherlands (Arnhem) R.R.,43040,TEUNISSEN Mike,19165,0,20,2024-06-23,Albert
5,1.WT3,National Championships Netherlands (Arnhem) R.R.,43040,BOL Cees,21930,0,18,2024-06-23,Nicky
6,1.WT3,National Championships Netherlands (Arnhem) R.R.,43040,KRIJNSEN Jelte,32717,0,16,2024-06-23,-
7,1.WT3,National Championships Netherlands (Arnhem) R.R.,43040,VAN KESSEL Corné,15249,0,14,2024-06-23,-
8,1.WT3,National Championships Netherlands (Arnhem) R.R.,43040,VAN DEN BERG Marijn,27674,0,12,2024-06-23,Roy
9,1.WT3,National Championships Netherlands (Arnhem) R.R.,43040,BUDDING Martijn,21928,0,10,2024-06-23,-
10,1.WT3,National Championships Netherlands (Arnhem) R.R.,43040,VAN EMPEL Etienne,20642,0,8,2024-06-23,-
1,NC5,National Championships Czech Republic (Jevicko) R.R.,43061,PRIDAL Tomas,34376,0.0,0,2024-06-23,-
1,NC4,National Championships Kazakhstan (Taldykorgan) R.R. (prov.),43059,GRUZDEV Dmitriy,4079,1,0,2024-06-23,-
1,NC4,National Championships Austria (Königswiesen) R.R.,43051,HAJEK Alexander,33111,1,0,2024-06-23,-
1,NC4,National Championships Portugal (Santa Maria da Feira) R.R.,43050,COSTA Rui Alberto Faria,6807,1,0,2024-06-23,Harry
1,1.WT3,National Championships Germany (Donaueschingen - Bad Dürrheim) R.R.,43048,BRENNER Marco,31323,5,50,2024-06-23,-
2,1.WT3,National Championships Germany (Donaueschingen - Bad Dürrheim) R.R.,43048,LIPOWITZ Florian,30805,2,35,2024-06-23,-
3,1.WT3,National Championships Germany (Donaueschingen - Bad Dürrheim) R.R.,43048,HEIDUK Kim,29436,1,25,2024-06-23,-
4,1.WT3,National Championships Germany (Donaueschingen - Bad Dürrheim) R.R.,43048,ZWIEHOFF Ben,31491,0,20,2024-06-23,-
5,1.WT3,National Championships Germany (Donaueschingen - Bad Dürrheim) R.R.,43048,TEUTENBERG Tim Torn,31857,0,18,2024-06-23,-
6,1.WT3,National Championships Germany (Donaueschingen - Bad Dürrheim) R.R.,43048,KOCH Jonas,19616,0,16,2024-06-23,-
7,1.WT3,National Championships Germany (Donaueschingen - Bad Dürrheim) R.R.,43048,MAYRHOFER Marius,29192,0,14,2024-06-23,Paul
8,1.WT3,National Championships Germany (Donaueschingen - Bad Dürrheim) R.R.,43048,RUTSCH Jonas,26438,0,12,2024-06-23,-
9,1.WT3,National Championships Germany (Donaueschingen - Bad Dürrheim) R.R.,43048,DENZ Nico,21504,0,10,2024-06-23,Kees
10,1.WT3,National Championships Germany (Donaueschingen - Bad Dürrheim) R.R.,43048,SCHACHMANN Maximilian,20798,0,8,2024-06-23,Albert
1,NC4,National Championships Poland (Plock) R.R.,43063,BANASZEK Norbert,24941,1,0,2024-06-23,-
1,1.WT3,National Championships Norway (Tverlandet) R.R.,43046,HOELGAARD Markus,20760,5,50,2024-06-23,-
2,1.WT3,National Championships Norway (Tverlandet) R.R.,43046,DVERSNES Fredrik,28553,2,35,2024-06-23,Jan
